,,,,,,,,Eurobarometer - 99.2,,,,,,,,,,,,,,,,,,,,,,,
,,VOL A weighted,,,,,Terrain/Fieldwork :  11/04 - 16/05/2023,,,,,,,,,,,,,,,,,,,,,,,,
,"QB1.4. Pour chacun des types de discrimination suivants, dites-moi si, selon vous, il s'agit de quelque chose de très répandu, assez répandu, plutôt rare ou très rare en (NOTRE PAYS) ? Les discriminations désignent le fait d'être traité de manière défavorable par rapport à d'autres personnes, sur la base de critères arbitraires. Des discriminations basées sur…  ",,,,,,"QB1.4. For each of the following types of discrimination, could you please tell me whether, in your opinion, it is very widespread, fairly widespread, fairly rare or very rare in (OUR COUNTRY)? By discrimination we mean when somebody is treated unfavourably compared with others based on arbitrary criteria. Discrimination on the basis of… ",,,,,,,,,,,,,,,,,,,,,,,,
,"L'orientation sexuelle (être par exemple lesbienne, gay ou bisexuel·le)",,,,,,"Sexual orientation (for example being lesbian, gay or bisexual)",,,,,,,,,,,,,,,,,,,,,,,,
,Base: Ensemble,,,,,,Base: All respondents,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"UE27
EU27",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE
,Total,26399,1011,1012,1025,1019,1227,1525,298,1009,1016,1014,1004,1006,1012,1027,504,1009,1005,508,1021,514,1004,1012,1015,1021,1053,1000,1021,1009,1019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Très répandu,4222,141,141,58,123,132,169,37,92,124,282,145,219,202,191,121,101,201,32,176,26,203,118,176,273,137,176,115,49,105
,Very widespread,16%,14%,14%,6%,12%,11%,11%,12%,9%,12%,28%,14%,22%,20%,19%,24%,10%,20%,6%,17%,5%,20%,12%,17%,27%,13%,18%,11%,5%,10%
,Plutôt répandu,10144,423,267,183,320,395,498,103,226,342,464,394,436,364,539,218,227,332,162,364,161,425,312,372,440,292,342,204,346,363
,Fairly widespread,38%,42%,26%,18%,31%,32%,33%,35%,22%,34%,46%,39%,43%,36%,53%,43%,23%,33%,32%,36%,32%,42%,31%,37%,43%,28%,34%,20%,34%,36%
,Plutôt rare,7151,339,269,382,378,396,482,86,277,347,211,278,233,245,208,95,191,171,196,223,197,289,355,282,214,242,204,229,389,438
,Fairly rare,27%,34%,27%,37%,37%,32%,31%,29%,28%,34%,21%,28%,23%,24%,20%,19%,19%,17%,38%,22%,38%,29%,35%,28%,21%,23%,20%,23%,39%,43%
,Très rare,3065,84,128,303,178,184,227,43,231,125,43,151,61,141,51,50,216,139,91,173,116,73,137,116,31,202,210,299,142,101
,Very rare,12%,8%,13%,29%,18%,15%,15%,14%,23%,12%,4%,15%,6%,14%,5%,10%,21%,14%,18%,17%,23%,7%,14%,11%,3%,19%,21%,29%,14%,10%
,Non-existant (SPONTANÉ),272,5,35,12,3,12,17,4,21,11,3,7,4,6,2,2,100,27,3,29,1,6,15,20,2,41,16,17,4,1
,Non-existent (SPONTANEOUS),1%,-,3%,1%,-,1%,1%,1%,2%,1%,-,1%,1%,1%,-,-,10%,3%,1%,3%,-,1%,1%,2%,-,4%,2%,2%,-,-
,Ne sait pas,1543,19,171,89,17,108,133,26,163,68,11,29,53,54,36,18,175,135,24,56,12,7,75,49,62,139,52,157,79,11
,Don't know,6%,2%,17%,9%,2%,9%,9%,9%,16%,7%,1%,3%,5%,5%,3%,4%,17%,13%,5%,5%,2%,1%,7%,5%,6%,13%,5%,15%,8%,1%
,Total 'Répandu',14367,564,409,240,443,527,667,140,317,465,746,539,655,566,730,340,327,533,194,541,187,628,430,548,713,429,518,319,395,468
