"Jurisdiction","Year","Marriage diff.-sex","Marriage same-sex","Registered partnership diff.-sex","Registered partnership same-sex","Cohabitation diff.-sex","Cohabitation same-sex","Adoption for married diff. Adoption for married sex couples","Adoption for married same-sex couple","Adoption for registered partnership diff.-sex couples","Adoption for registered partenership same-sex","Adoption for diff.-sex couple that cohabiate","Adoption for same.-sex couple that cohabiate"
"Austria (a)",2016,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","Yes","Yes","Yes"
"Austria (a)",2015,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2015,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2014,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2014,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2013,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2013,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2012,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2012,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2011,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2011,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2010,"Yes","No","No","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2010,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","No","No","No"
"Austria (a)",2009,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2009,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2008,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2008,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2007,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2007,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2006,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2006,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2005,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2005,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2004,"Yes","No","No","No","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
"Austria (a)",2004,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","No","No"
