"Country","2016","2017","2018","2019","2020","2021","2022","2023"
"Armenia",13,13,21,22,25,59,50,49
"Austria",0,1,4,3,3,4,2,9
"Belgium",1,6,0,0,0,0,0,1
"Bosnia and Herzegovina",7,27,20,18,11,16,17,17
"Croatia",1,4,0,11,10,18,0,3
"Czech Republic",0,6,3,7,9,29,43,22
"Finland",0,5,0,0,0,0,5,0
"Germany",35,21,32,34,27,33,42,34
"Greece",11,22,5,24,18,24,22,24
"Hungary",2,3,0,20,2,10,4,6
"Italy",4,5,13,51,21,40,31,35
"Lithuania",2,1,4,7,3,2,4,2
"Malta",0,1,0,0,0,0,0,0
"Moldova",16,13,8,10,12,9,4,10
"Netherlands",10,10,3,11,2,5,1,1
"North Macedonia",0,1,0,6,4,1,4,1
"Poland",25,32,13,47,66,24,47,27
"Portugal",0,3,0,30,17,1,0,0
"Romania",0,3,0,0,0,0,4,6
"Serbia",6,20,20,44,29,35,53,44
"Spain",25,142,131,3,85,1,0,1
"Sweden",15,19,22,0,0,0,1,0
"Turkey",75,37,14,7,3,9,3,13
"Ukraine",67,110,105,114,136,60,41,29
"United Kingdom",17,31,4,3,6,1,2,5
"Cyprus",1,0,0,0,0,2,1,4
"France",26,0,0,0,3,5,1,0
"Ireland",1,0,0,1,2,2,0,0
"Montenegro",3,0,2,2,1,1,1,0
"Norway",1,0,0,0,0,0,1,0
"Switzerland",1,0,0,18,27,49,61,119
"Belarus",0,0,1,2,1,7,0,2
"Iceland",0,0,1,0,0,0,0,21
"Albania",0,0,0,1,0,0,0,5
"Bulgaria",0,0,0,5,3,0,0,0
"Slovenia",0,0,0,4,1,2,5,16
"Estonia",0,0,0,0,0,3,1,1
"Latvia",0,0,0,0,0,1,0,2
"Liechtenstein",0,0,0,0,0,1,0,0
"Slovakia",0,0,0,0,0,0,2,1
