Country,Hate crime law,Hate crime law name,Hate speech law,Hate Speech law name
Albania,2013,Criminal Code,2013,Criminal Code
Austria,2016,Austrian criminal code,2016,Austrian criminal code
Belarus,none,none,none,none
Belgium,1905,wet ter bestrijding van bepaalde vormen van discriminatie,1905,wet ter bestrijding van bepaalde vormen van discriminatie
Bosnia and Herzegovina,2016,"Law on amendments to the Criminal Code of Federation of Bosnia and Herzegovina, Law on amendments to the Criminal Code of Republika Srpska and Law on amendments to the Criminal Code of Brcko District",2017,Adoption of new Criminal Code of Republika Srpska
Bulgaria,2023,Criminal Code,2023,Criminal Code
Croatia,2013,Criminal Code,2013,Criminal Code
Cyprus,2017,"Cyprus Penal Code, Chapter 154",2015,"Cyprus Penal Code, Chapter 154"
Czech Republic,none,none,none,none
Estonia,none,none,2006,Penal Code
Finland,2011,Criminal Code,2011,Criminal Code
France,unclear,unclear,unclear,unclear
Germany,2023,"Law for the revision of the sanctions law none substitute prison sentence, sentencing, conditions and instructions as well as placement in a rehabilitation center",2023,"Law for the revision of the sanctions law none substitute prison sentence, sentencing, conditions and instructions as well as placement in a rehabilitation center"
Greece,2019,Article 81A of the Penal Code (Law 4619/2019) as amended by Article 14 of Law 5090/2024,2014,Law 927/1979 as amended by Law 4285/2014
Hungary,2012,Act No. C of 2012 on the Criminal Code,2012,Act No. C of 2012 on the Criminal Code
Iceland," 1940, as amended 2022",General Penal Code,2013,"Almenn hegningarlög nr. 19/1940 (The General Penal Code) Lög um breytingu á almennum hegningarlögum, nr. 19 12. febrúar 1940, með síðari breytingum (mismunun á grundvelli kynvitundar og viðbótarbókun við samning Evrópuráðsins um tölvubrot) nr. 13/2014.+ (Amendment No. 13/2014) // Lög um fjölmiðla nr. 38/2011(Lög um breytingu á lögum um fjölmiðla, nr. 38/2011 (eignarhaldsreglur og endurbætur) nr. 54/2011 (Amendment No. 54/2011)"
Ireland,none,none,1905,"Prohibition of Incitement to Hatred Act, 1989"
Italy,none,none,none,none
Latvia,"1998, as amended 2014", Criminal Code of Latvia,none,none
Liechtenstein,none,none,1988,Criminal Code of 24 June 1987 (StGB) none Strafgesetzbuch vom 24. Juni 1987 (StGB)
Lithuania,1905,Criminal Code of the Republic of Lithuania,1905,Criminal Code of the Republic of Lithuania
Malta,2012,"ACT No. VIII of 2012. AN ACT to amend the Criminal Code, Cap. 9",2012,"ACT No. VIII of 2012. AN ACT to amend the Criminal Code, Cap. 9"
Moldova,2022,"Criminal Code, amendment",2022,"Criminal Code, amendment"
Montenegro,2014,Criminal Code,2014,Criminal Code
Netherlands,none,none,"(1881, as amended 2007",Wetboek van Strafrecht (Penal Code)
North Macedonia,2018,Criminal Code,none,none
Norway,2015,Norwegian criminal code 2015,2015,Norwegian criminal code 2015
Poland,none,none,none,none
Portugal,2007,Lei 59/2007,2007,Lei 59/2007
Romania,unknown,unknown,unknown,unknown
Serbia,2012,Criminal Code,2014,1. Anti Discrimination Law; 2. Law on media
Slovakia,2013,Act No. 300/2005 Criminal law,2017,Act No. 300/2005 Criminal law
Slovenia,2023,Criminal Code,2008,Criminal Code
Spain,1995,"Ley Orgánica 10/1995, de 23 de noviembre, del Código Penal",1995,"Ley Orgánica 10/1995, de 23 de noviembre, del Código Penal"
Sweden,2003,Brottsbalk (1962:700),2003,Brottsbalk (1962:700)
Switzerland,none,none,2020,Code pénal & Code pénal militaire
Turkey,none,none,none,none
Ukraine,none,none,none,none
United Kingdom,1986,Public Order Act,1986,Public Order Act
United Kingdom,1987,The Public Order (Northern Ireland) Order ,1987,The Public Order (Northern Ireland) Order 
United Kingdom,2003,Criminal Justice Act 2003,2003,Criminal Justice Act 2003
United Kingdom,2024,the Hate Crime and Public Order (Scotland) Act ,2024,the Hate Crime and Public Order (Scotland) Act 
